altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,sol,tmax,tmed,tmin,velmedia
52.0,7.0,2012-03-01,11,Varias,15:20,11:00,07:40,1111X,SANTANDER,0.0,1017.3,1015.6,CANTABRIA,7.5,9.1,13.4,11.0,8.6,4.2
52.0,28.0,2012-03-02,23,14,17:30,15:00,03:00,1111X,SANTANDER,0.0,1019.3,1015.6,CANTABRIA,7.8,3.5,12.6,10.8,9.1,3.3
52.0,99.0,2012-03-03,17,04,13:40,12:00,06:00,1111X,SANTANDER,0.8,1021.3,1017.8,CANTABRIA,7.2,6.8,17.8,13.7,9.6,2.5
52.0,33.0,2012-03-04,24,07,14:10,11:30,23:59,1111X,SANTANDER,0.8,1026.9,1015.3,CANTABRIA,18.3,1.2,15.6,12.0,8.4,6.4
52.0,33.0,2012-03-04,24,07,14:10,11:30,23:59,1111X,SANTANDER,0.8,1026.9,1015.3,CANTABRIA,18.3,1.2,15.6,12.0,8.4,6.4
52.0,35.0,2012-03-05,Varias,17,02:10,13:40,Varias,1111X,SANTANDER,1.0,1027.3,1024.3,CANTABRIA,10.3,8.7,11.5,9.5,7.5,3.6
52.0,28.0,2012-03-06,00,17,12:40,13:50,07:00,1111X,SANTANDER,0.0,1024.4,1021.5,CANTABRIA,7.8,8.9,11.7,8.9,6.1,3.6
52.0,29.0,2012-03-07,23,04,21:20,14:40,05:30,1111X,SANTANDER,2.4,1025.4,1021.1,CANTABRIA,12.5,6.5,13.2,9.3,5.4,3.1
52.0,1.0,2012-03-08,Varias,00,02:10,13:10,23:59,1111X,SANTANDER,0.0,1031.2,1025.3,CANTABRIA,12.8,6.3,13.1,10.8,8.6,5.8
52.0,8.0,2012-03-09,Varias,14,16:20,11:30,07:00,1111X,SANTANDER,0.0,1031.0,1028.6,CANTABRIA,12.2,10.8,13.3,9.9,6.5,6.4
52.0,8.0,2012-03-10,01,16,16:50,10:40,07:00,1111X,SANTANDER,0.0,1030.4,1028.3,CANTABRIA,9.2,11.0,14.1,10.6,7.2,5.3
52.0,4.0,2012-03-11,01,24,15:30,13:00,07:50,1111X,SANTANDER,0.0,1029.0,1023.5,CANTABRIA,8.9,5.9,12.4,10.6,8.8,2.8
